score,quantile,threshold,horizon,n,median,mean,win_rate_vs_base,lift_vs_base
comp_z_4,top 20%,1.73,+60d,396,0.06957128432961146,0.07535918879259046,0.5782828282828283,0.029750203186517554
comp_z_4,top 20%,1.73,+120d,396,0.12938108009668237,0.16128753747365737,0.6414141414141414,0.05919365313261604
comp_z_4,top 20%,1.73,+250d,352,0.24289191800423426,0.3356443257092155,0.5539772727272727,0.023349151587096384
comp_z_4,top 10%,3.73,+60d,198,0.12487990361028523,0.094239375065461,0.6262626262626263,0.08505882246719132
comp_z_4,top 10%,3.73,+120d,198,0.14908619210253315,0.2058578998361524,0.6868686868686869,0.07889876513846683
comp_z_4,top 10%,3.73,+250d,172,0.32739369016329245,0.46135259792097727,0.75,0.10785092374615457
comp_z_4,top 5%,5.07,+60d,99,0.058954342039912566,0.09320825671262725,0.5454545454545454,0.01913326089681866
comp_z_4,top 5%,5.07,+120d,99,0.13611564447670355,0.22890344722933081,0.6565656565656566,0.06592821751263722
comp_z_4,top 5%,5.07,+250d,93,0.29233085792521996,0.5710380097327872,0.8387096774193549,0.07278809150808208
comp_z_4p1,top 20%,1.46,+60d,396,0.06581644906637818,0.06802142764709539,0.5757575757575758,0.025995367923284274
comp_z_4p1,top 20%,1.46,+120d,396,0.12808551912526445,0.15176178816303762,0.6363636363636364,0.05789809216119812
comp_z_4p1,top 20%,1.46,+250d,357,0.24614697727136625,0.31807755485401035,0.5518207282913166,0.02660421085422837
comp_z_4p1,top 10%,3.16,+60d,198,0.09080641376269705,0.08600882837159261,0.6111111111111112,0.05098533261960314
comp_z_4p1,top 10%,3.16,+120d,198,0.1439767758667052,0.19288213874025498,0.696969696969697,0.07378934890263888
comp_z_4p1,top 10%,3.16,+250d,168,0.2770811358416212,0.40670834530226735,0.6726190476190477,0.057538369424483315
comp_z_4p1,top 5%,4.57,+60d,99,0.06930889221211856,0.08481290308935069,0.5555555555555556,0.02948781106902465
comp_z_4p1,top 5%,4.57,+120d,99,0.11960405277786501,0.20039144186083013,0.6666666666666666,0.04941662581379869
comp_z_4p1,top 5%,4.57,+250d,92,0.30000381847334623,0.4851137470801493,0.782608695652174,0.08046105205620835
comp_z_4p2,top 20%,2.38,+60d,396,0.05102654188497213,0.055869687116136754,0.5303030303030303,0.011205460741878226
comp_z_4p2,top 20%,2.38,+120d,396,0.09525370133630995,0.13057786186368556,0.5858585858585859,0.025066274372243624
comp_z_4p2,top 20%,2.38,+250d,362,0.23769422259907835,0.2997738142154853,0.5276243093922652,0.018151456181940473
comp_z_4p2,top 10%,4.42,+60d,198,0.02819584307558065,0.04704945757050293,0.4696969696969697,-0.011625238067513255
comp_z_4p2,top 10%,4.42,+120d,198,0.0856214524921508,0.1337150856807635,0.5757575757575758,0.015434025528084483
comp_z_4p2,top 10%,4.42,+250d,187,0.2513393129577197,0.3422150152249193,0.6042780748663101,0.03179654654058184
comp_z_4p2,top 5%,6.5,+60d,99,0.0030958930630893278,0.034670638455586364,0.3838383838383838,-0.03672518808000458
comp_z_4p2,top 5%,6.5,+120d,99,0.0856712354452307,0.12958402142891298,0.5858585858585859,0.015483808481164374
comp_z_4p2,top 5%,6.5,+250d,99,0.252002024051015,0.3575990370457111,0.6262626262626263,0.03245925763387714
comp_z_4p3,top 20%,3.01,+60d,396,0.03771783305597465,0.04417603329792638,0.4898989898989899,-0.0021032480871192583
comp_z_4p3,top 20%,3.01,+120d,396,0.07922989652707446,0.11535697159103935,0.5429292929292929,0.009042469563008138
comp_z_4p3,top 20%,3.01,+250d,364,0.2273655670026129,0.2812879900765446,0.5164835164835165,0.00782280058547502
comp_z_4p3,top 10%,5.45,+60d,198,0.02292138051735937,0.04093561887513472,0.4444444444444444,-0.016899700625734537
comp_z_4p3,top 10%,5.45,+120d,198,0.08222828896351697,0.11616566597040548,0.5505050505050505,0.012040861999450647
comp_z_4p3,top 10%,5.45,+250d,192,0.24499320185263596,0.3145066449130987,0.5729166666666666,0.025450435435498076
comp_z_4p3,top 5%,8.41,+60d,99,-0.009363984920747526,0.020830911418724934,0.3434343434343434,-0.04918506606384143
comp_z_4p3,top 5%,8.41,+120d,99,0.08179802315226858,0.10207975412495765,0.5555555555555556,0.01161059618820226
comp_z_4p3,top 5%,8.41,+250d,99,0.2473550383721541,0.3093396646576331,0.5555555555555556,0.027812271955016232
