,dist 250MA,z 125MA,vol 5/60,VIX,VIX_pct,margin drop 60d,margin pct 1y,econ_score,blue_streak,adv/dec,adv-dec cum,new highs 52w,new lows 52w,high-low diff,top20 concen,value/stock
dist 250MA,1.0,0.822,0.199,0.018,-0.093,0.581,0.756,0.427,-0.048,-0.079,-0.223,0.548,-0.235,0.385,0.102,0.679
z 125MA,0.822,1.0,0.232,-0.293,-0.266,0.678,0.656,0.153,0.068,-0.102,-0.017,0.595,-0.404,0.545,-0.075,0.446
vol 5/60,0.199,0.232,1.0,0.075,-0.048,0.107,0.101,-0.048,-0.036,0.012,-0.052,0.316,0.108,0.015,-0.142,0.21
VIX,0.018,-0.293,0.075,1.0,0.625,-0.46,-0.253,0.431,-0.424,0.151,-0.6,-0.245,0.35,-0.381,0.226,0.417
VIX_pct,-0.093,-0.266,-0.048,0.625,1.0,-0.35,-0.159,0.318,-0.417,0.07,-0.243,-0.33,0.316,-0.38,0.207,0.107
margin drop 60d,0.581,0.678,0.107,-0.46,-0.35,1.0,0.676,-0.106,0.276,-0.169,0.106,0.429,-0.187,0.304,-0.116,0.186
margin pct 1y,0.756,0.656,0.101,-0.253,-0.159,0.676,1.0,0.245,0.144,-0.108,0.134,0.406,-0.18,0.291,0.033,0.34
econ_score,0.427,0.153,-0.048,0.431,0.318,-0.106,0.245,1.0,-0.637,0.045,-0.414,-0.012,0.054,-0.05,0.371,0.592
blue_streak,-0.048,0.068,-0.036,-0.424,-0.417,0.276,0.144,-0.637,1.0,-0.048,0.184,0.117,-0.111,0.134,-0.201,-0.254
adv/dec,-0.079,-0.102,0.012,0.151,0.07,-0.169,-0.108,0.045,-0.048,1.0,-0.053,-0.018,-0.103,0.082,0.014,-0.026
adv-dec cum,-0.223,-0.017,-0.052,-0.6,-0.243,0.106,0.134,-0.414,0.184,-0.053,1.0,0.141,-0.175,0.196,-0.152,-0.635
new highs 52w,0.548,0.595,0.316,-0.245,-0.33,0.429,0.406,-0.012,0.117,-0.018,0.141,1.0,-0.28,0.577,-0.324,0.268
new lows 52w,-0.235,-0.404,0.108,0.35,0.316,-0.187,-0.18,0.054,-0.111,-0.103,-0.175,-0.28,1.0,-0.946,0.183,0.015
high-low diff,0.385,0.545,0.015,-0.381,-0.38,0.304,0.291,-0.05,0.134,0.082,0.196,0.577,-0.946,1.0,-0.265,0.078
top20 concen,0.102,-0.075,-0.142,0.226,0.207,-0.116,0.033,0.371,-0.201,0.014,-0.152,-0.324,0.183,-0.265,1.0,0.252
value/stock,0.679,0.446,0.21,0.417,0.107,0.186,0.34,0.592,-0.254,-0.026,-0.635,0.268,0.015,0.078,0.252,1.0
