indicator,source,extreme_dir,events_total,events_with_data,hit_rate_total,hit_pct_total,hit_rate_nonA,hit_rate_A
dist 250MA,H084,low,21,20,13/20 (65%),65.0,5/9 (56%),8/11 (73%)
z 125MA,H084,low,21,17,14/17 (82%),82.3529411764706,7/9 (78%),7/8 (88%)
vol 5/60,H084,high,21,20,4/20 (20%),20.0,4/9 (44%),0/11 (0%)
VIX,H084,high,21,8,7/8 (88%),87.5,5/6 (83%),2/2 (100%)
VIX_pct,H084,high,21,8,7/8 (88%),87.5,5/6 (83%),2/2 (100%)
margin drop 60d,H084,low,21,20,10/20 (50%),50.0,4/9 (44%),6/11 (55%)
margin pct 1y,H084,low,21,19,9/19 (47%),47.36842105263158,3/9 (33%),6/10 (60%)
econ_score,H084,low,21,21,5/21 (24%),23.80952380952381,0/10 (0%),5/11 (45%)
blue_streak,H084,high,21,21,1/21 (5%),4.761904761904762,0/10 (0%),1/11 (9%)
adv/dec,H087,low,21,16,13/16 (81%),81.25,7/9 (78%),6/7 (86%)
adv-dec cum,H087,low,21,16,6/16 (38%),37.5,4/9 (44%),2/7 (29%)
new highs 52w,H087,low,21,16,12/16 (75%),75.0,5/9 (56%),7/7 (100%)
new lows 52w,H087,high,21,16,14/16 (88%),87.5,9/9 (100%),5/7 (71%)
high-low diff,H087,low,21,16,14/16 (88%),87.5,9/9 (100%),5/7 (71%)
top20 concen,H087,high,21,16,6/16 (38%),37.5,5/9 (56%),1/7 (14%)
value/stock,H087,high,21,16,4/16 (25%),25.0,4/9 (44%),0/7 (0%)
