trough_date,tier,parent_tier,drawdown_pct,dist 250MA_val,dist 250MA_pct,z 125MA_val,z 125MA_pct,vol 5/60_val,vol 5/60_pct,VIX_val,VIX_pct,VIX_pct_val,VIX_pct_pct,margin drop 60d_val,margin drop 60d_pct,margin pct 1y_val,margin pct 1y_pct,econ_score_val,econ_score_pct,blue_streak_val,blue_streak_pct,adv/dec_val,adv/dec_pct,adv-dec cum_val,adv-dec cum_pct,new highs 52w_val,new highs 52w_pct,new lows 52w_val,new lows 52w_pct,high-low diff_val,high-low diff_pct,top20 concen_val,top20 concen_pct,value/stock_val,value/stock_pct
2008-01-23,C,C,12.11,,,,,,,,,,,,,,,28,70.1,0,52.7,,,,,,,,,,,,,,
2008-10-27,A-sub,A,53.02,-42.60933301075303,0.1,,,0.6732490840443514,1.6,,,,,-44.275439027668035,0.8,,,12,7.0,5,72.7,,,,,,,,,,,,,,
2008-11-20,A,A,56.0,-44.45054365716557,0.0,,,0.8987205329556156,29.3,,,,,-54.32196771304286,0.1,0.4672897196261681,3.2,12,7.0,5,72.7,,,,,,,,,,,,,,
2009-01-20,C-sub,A,11.42,-38.100541582947365,0.5,,,0.7400843535076939,5.1,,,,,-22.986950357218525,7.9,13.2,19.7,11,4.3,7,77.1,,,,,,,,,,,,,,
2009-06-18,C-sub,A,11.64,7.404636859537801,62.7,0.6594785879294638,49.5,0.6157004021030322,0.5,,,,,-4.362368207852095,43.9,64.8,49.1,11,4.3,12,88.4,,,,,,,,,,,,,,
2010-02-08,C-sub,A,13.65,5.867596683195195,54.7,-0.7108665985786286,15.0,0.7542309420398382,6.1,,,,,-9.278942657500217,23.9,84.0,60.6,37,89.9,0,52.7,1.6721311475409837,75.8,-1966.0,95.3,0.0,5.5,0.0,5.9,0.0,42.5,0.3357947862833316,32.0,74444820.03166023,30.0
2010-06-09,C-sub,A,13.46,-5.279535385155769,16.3,-1.456580314828302,7.7,0.7466727033009012,5.6,,,,,-5.841539464293992,37.6,58.8,45.8,39,97.2,0,52.7,0.1899313501144164,5.1,-1234.0,96.0,0.0,5.5,0.0,5.9,0.0,42.5,0.3281531105115196,27.6,84359097.58665644,40.6
2011-09-26,B-sub,A,24.8,-19.076313980512833,2.9,-2.7766623105564747,1.4,0.9723874963521782,46.7,,,,,-18.450160357503528,11.0,2.0,7.7,20,37.9,1,58.0,0.0705980066445182,1.1,-16613.0,87.5,2.0,7.3,567.0,99.5,-565.0,0.5,0.4138843297749927,82.1,86719985.49667406,42.9
2011-12-19,C-sub,A,12.97,-19.409244355586676,2.8,-1.6494125762728389,6.5,0.7845182065890514,8.9,,,,,-17.015869191148887,12.6,2.0,7.7,19,30.1,3,65.9,0.0661764705882353,0.9,-23102.0,84.5,0.0,5.5,560.0,99.5,-560.0,0.5,0.3603068691450719,49.1,49495517.26285301,3.4
2012-06-04,C-sub,A,15.34,-10.395341265780994,8.6,-1.0159420323955883,11.1,1.1328510352777228,78.8,,,,,-13.911033479948614,15.9,3.5999999999999996,10.0,14,11.5,9,81.7,0.0382262996941896,0.3,-26966.0,82.3,0.0,5.5,203.0,96.5,-203.0,3.3,0.4036377821959391,76.6,61624350.6941093,13.9
2014-10-17,C,C,11.04,-3.800845230141132,18.6,-3.0468150438851724,1.0,1.1168384491662002,76.6,,,,,-6.085850219673035,36.5,57.99999999999999,45.4,29,74.7,0,52.7,0.2163336229365769,6.5,-49570.0,68.1,9.0,16.5,395.0,99.0,-386.0,1.0,0.4018677640878006,75.6,91854316.85082509,47.2
