signal,n_trig,n_cluster,hit_C_events,hit_rate_C,must_hit,jaccard_H085,med_60d_pct,med_120d_pct,med_250d_pct
S1: z125≤-1.5,305,11,4/13,0.3076923076923077,0/2,0.2857142857142857,0.7645370585330546,4.990649988350948,17.4368436707367
S2: z125≤-2.0,189,8,2/13,0.15384615384615385,0/2,0.32217573221757323,0.6694996425204325,5.298030824299627,18.76273089087146
S1+econ≥17,264,11,4/13,0.3076923076923077,0/2,0.3254237288135593,0.015048844030690622,6.533079314828494,18.178579926398907
S1+notA(parent_tier!=A),161,6,2/13,0.15384615384615385,0/2,0.40487804878048783,4.894934977946774,8.179802315226858,24.309241950474103
S1+nonH085(comp_z<3.97),209,11,4/13,0.3076923076923077,0/2,0.0,-0.028773847673724262,3.520499623046769,11.95951066031855
S2+nonH085,112,7,2/13,0.15384615384615385,0/2,0.0,0.0977594171848617,2.9830982520017923,12.421312578068344
S1+econ≥17+nonH085,168,11,4/13,0.3076923076923077,0/2,0.0,-1.859721564492467,4.466217259259597,9.75585028293301
S1+notA+nonH085,78,6,2/13,0.15384615384615385,0/2,0.0,3.990729038282259,4.7324865070023865,15.923704077159206
margin_drop60≤-5+nonH085,1485,30,11/13,0.8461538461538461,2/2,0.0,2.005332530723891,4.378697290704725,9.963110038053424
S1 OR margin≤-5 (nonH085),1493,30,11/13,0.8461538461538461,2/2,0.0,2.0252316464288156,4.390657946168874,9.963110038053424
