top_q,consec,threshold,n_triggers,n_clusters,jaccard_h085,tier_dist,fwd_60d_n,fwd_60d_med,fwd_60d_lift,fwd_120d_n,fwd_120d_med,fwd_120d_lift,fwd_250d_n,fwd_250d_med,fwd_250d_lift,nb_60d_n,nb_60d_lift,nb_120d_n,nb_120d_lift,nb_250d_n,nb_250d_lift
0.05,1,0.07606793269112112,200,20,0.022443890274314215,"{'bull': 81, 'C': 79, 'D': 22, 'B': 10, 'A': 8}",153,0.03716537733317882,0.004602277769726437,136,0.03962438817690639,-0.016274562154907968,118,-0.049485951927281335,-0.16325441516924089,98,-0.0034781608810400266,98,-0.02126384680950011,95,-0.15549770889327197
0.05,3,0.07606793269112112,151,19,0.014044943820224719,"{'bull': 66, 'C': 63, 'D': 12, 'B': 6, 'A': 4}",110,0.032130455520638646,-0.0004326440428137346,95,0.03970267888489909,-0.016196271446915267,83,-0.07151643757546389,-0.18528490081742344,68,-0.006175242282516646,68,-0.018329443583617322,67,-0.158418194983295
0.05,5,0.07606793269112112,116,16,0.009287925696594427,"{'bull': 57, 'C': 49, 'D': 5, 'B': 3, 'A': 2}",81,0.028545838007974167,-0.004017261555478213,68,0.042459875598850894,-0.013439074732963463,60,-0.07649467629489731,-0.19026313953685686,48,-0.01232657641028756,48,-0.01712691607845862,48,-0.16325441516924089
0.1,1,0.0567185583631332,399,35,0.030456852791878174,"{'bull': 175, 'C': 106, 'D': 52, 'B': 39, 'A': 27}",343,0.05597621512682727,0.023413115563374887,317,0.05534315207746454,-0.0005557982543498152,278,0.02124506981565122,-0.09252339342630833,198,0.01479331930834693,193,-0.013462997985705272,185,-0.11863849575599683
0.1,3,0.0567185583631332,316,35,0.023346303501945526,"{'bull': 141, 'C': 94, 'D': 37, 'B': 27, 'A': 17}",266,0.05188114283113776,0.01931804326768538,244,0.04878991523964271,-0.007109035092171645,213,-0.004870032514037281,-0.11863849575599683,153,0.009559007296939703,150,-0.02126384680950011,144,-0.12768023468378037
0.1,5,0.0567185583631332,251,27,0.013186813186813187,"{'bull': 114, 'C': 82, 'D': 25, 'B': 18, 'A': 12}",207,0.05279686589083954,0.02023376632738716,189,0.04726652602119019,-0.008632424310624165,162,-0.01509148105214353,-0.12885994429410308,119,0.002549671890375582,118,-0.028062430627594837,114,-0.13121988269696433
0.15,1,0.048139435673630625,598,61,0.039897039897039896,"{'bull': 253, 'C': 127, 'B': 91, 'D': 85, 'A': 42}",538,0.059762135396849825,0.027199035833397445,500,0.06241441518123292,0.006515464849418562,439,0.07964210788238324,-0.03412635535957631,316,0.012793184529428792,305,-0.005712867399037647,288,-0.06268595405800337
0.15,3,0.048139435673630625,459,46,0.02450229709035222,"{'bull': 205, 'C': 107, 'D': 68, 'B': 54, 'A': 25}",399,0.059784098087342086,0.027220998523889706,369,0.05968289379092284,0.0037839434591084853,319,0.04194652995643322,-0.07182193328552633,225,0.011137749017148812,219,-0.015218410991740816,207,-0.11494276055082708
0.15,5,0.048139435673630625,374,36,0.013888888888888888,"{'bull': 164, 'C': 98, 'D': 57, 'B': 38, 'A': 17}",314,0.05614529869190976,0.023582199128457382,290,0.05366212828729511,-0.002236822044519249,248,0.0014977367546656906,-0.11227072648729386,181,0.006498241826375151,177,-0.025194194798259684,167,-0.12847656335594437
0.2,1,0.04258528216342657,797,77,0.044605809128630707,"{'bull': 311, 'B': 156, 'C': 156, 'D': 103, 'A': 71}",737,0.05352859331276516,0.02096549374931278,695,0.06901254273378021,0.013113592401965857,622,0.12474514900768097,0.010976685765721417,457,0.012442097421014542,442,0.0008064503897480257,418,0.04509822567474886
0.2,3,0.04258528216342657,630,64,0.034482758620689655,"{'bull': 267, 'C': 131, 'B': 103, 'D': 84, 'A': 45}",570,0.05614529869190976,0.023582199128457382,536,0.06281222982446522,0.006913279492650859,471,0.08947610337180545,-0.0242923598701541,334,0.009738857100796139,324,-0.0042092132202330435,306,-0.044594116884049906
0.2,5,0.04258528216342657,515,48,0.02112676056338028,"{'bull': 231, 'C': 116, 'D': 69, 'B': 68, 'A': 31}",455,0.05597621512682727,0.023413115563374887,429,0.05936606068788386,0.0034671103560695027,371,0.06530963068065532,-0.04845883256130423,255,0.006498241826375151,249,-0.012477647820862137,236,-0.09159245298863983
