year,bucket_label,N,sl_hits,pnl_mean,sl_rate
2021,"(-∞, 0]",12,10,-20.82869165874884,0.8333333333333334
2021,"(0, 0.5]",39,29,3.591339529057176,0.7435897435897436
2021,"(0.5, 1]",68,46,-6.097074035078308,0.6764705882352942
2021,"(1, +∞)",15,7,26.652657764405983,0.4666666666666667
2022,"(-∞, 0]",23,13,5.670326047400443,0.5652173913043478
2022,"(0, 0.5]",41,33,-29.39634594688913,0.8048780487804879
2022,"(0.5, 1]",36,15,20.789637809384104,0.4166666666666667
2022,"(1, +∞)",19,12,-4.363504218701947,0.631578947368421
2023,"(-∞, 0]",21,16,-11.789843874492536,0.7619047619047619
2023,"(0, 0.5]",38,27,-10.64593744637664,0.7105263157894737
2023,"(0.5, 1]",41,25,7.227966274338808,0.6097560975609756
2023,"(1, +∞)",22,10,24.449400254936997,0.45454545454545453
2024,"(-∞, 0]",16,12,3.0469714453563483,0.75
2024,"(0, 0.5]",50,33,8.95995870845436,0.66
2024,"(0.5, 1]",46,29,18.741838887591058,0.6304347826086957
2024,"(1, +∞)",18,14,-5.004567144327262,0.7777777777777778
2025,"(-∞, 0]",17,10,24.542961013568856,0.5882352941176471
2025,"(0, 0.5]",29,23,-17.274657178328575,0.7931034482758621
2025,"(0.5, 1]",56,31,23.5960289927961,0.5535714285714286
2025,"(1, +∞)",24,14,20.728670311291655,0.5833333333333334
2026,"(-∞, 0]",8,2,135.05950906306907,0.25
2026,"(0, 0.5]",10,9,-97.30240602942358,0.9
2026,"(0.5, 1]",20,9,91.52338237535932,0.45
2026,"(1, +∞)",13,8,-49.68804381027383,0.6153846153846154
