regime,level,N,up_rate,up_lo,up_hi,dn_rate,dn_lo,dn_hi,asym
bull,L1,487,0.5236139630390144,0.4792442028456931,0.5676140911538377,0.5071868583162218,0.46290122733657035,0.5513599925763304,0.01642710472279263
bull,L2,487,0.406570841889117,0.36384109971013856,0.45076304142215334,0.39630390143737165,0.35383569748856003,0.44039527233958814,0.010266940451745366
bull,L3,487,0.23408624229979466,0.19865005096340013,0.27368481225927704,0.21971252566735114,0.18521031392606002,0.2586021094708159,0.014373716632443523
bull,L4,487,0.11704312114989733,0.0914429532784296,0.1486377570770089,0.10882956878850103,0.08417039042945301,0.1396117828826705,0.0082135523613963
range,L1,564,0.5301418439716312,0.4888865943059195,0.5709892583966653,0.50177304964539,0.46063568994236576,0.5428864190401391,0.028368794326241176
range,L2,564,0.42021276595744683,0.38015032639945484,0.46135476938782105,0.4024822695035461,0.3628007552290237,0.4434832507332024,0.017730496453900735
range,L3,564,0.24113475177304963,0.20765771774797334,0.27811437080629947,0.22872340425531915,0.19596354458817977,0.26515378108855825,0.012411347517730487
range,L4,564,0.0975177304964539,0.07568840145340673,0.12479285951796275,0.12411347517730496,0.09941834437614064,0.15389455133280358,-0.02659574468085106
bear,L1,230,0.5956521739130435,0.5311584809607018,0.6570030779749196,0.5434782608695652,0.47891644866744915,0.6066115326669241,0.05217391304347829
bear,L2,230,0.5043478260869565,0.4401924836648494,0.5683603144685878,0.46956521739130436,0.4060957873392241,0.5340346257267147,0.03478260869565214
bear,L3,230,0.2826086956521739,0.22835766728577164,0.3440024260423616,0.34347826086956523,0.28513009740522355,0.4069691697910325,-0.06086956521739134
bear,L4,230,0.1391304347826087,0.10030616174554839,0.18981159317915278,0.20434782608695654,0.1572948372956609,0.26111488963060037,-0.06521739130434784
