Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,ret_pct,d
-1,18687,18710,21105.0,21167.0,,,-62.0,0.0,-0.002937692489931365,2025-06-03 09:10:00,2025-06-03 09:33:00,0 days 00:23:00,,-0.2937692489931296,2025-06-03
1,19643,19704,21537.0,21545.0,,,8.0,0.0,0.00037145377722058726,2025-06-06 10:03:00,2025-06-06 11:04:00,0 days 01:01:00,,0.03714537772205971,2025-06-06
1,20527,20563,22250.0,22222.0,,,-28.0,0.0,-0.001258426966292081,2025-06-11 09:44:00,2025-06-11 10:20:00,0 days 00:36:00,,-0.1258426966292135,2025-06-11
-1,21423,21511,21952.0,21934.0,,,18.0,0.0,0.0008199708454810217,2025-06-16 09:37:00,2025-06-16 11:05:00,0 days 01:28:00,,0.08199708454810496,2025-06-16
-1,22904,22951,21365.0,21349.0,,,16.0,0.0,0.0007488883688274717,2025-06-23 09:13:00,2025-06-23 10:00:00,0 days 00:47:00,,0.07488883688275216,2025-06-23
1,23515,23576,22053.0,22032.0,,,-21.0,0.0,-0.0009522513943681643,2025-06-25 09:22:00,2025-06-25 10:23:00,0 days 01:01:00,,-0.09522513943681131,2025-06-25
1,23849,23892,22156.0,22177.0,,,21.0,0.0,0.0009478245170608801,2025-06-26 09:55:00,2025-06-26 10:38:00,0 days 00:43:00,,0.09478245170608413,2025-06-26
1,24121,24130,22096.0,22044.0,,,-52.0,0.0,-0.002353367125271566,2025-06-27 09:26:00,2025-06-27 09:35:00,0 days 00:09:00,,-0.23533671252715427,2025-06-27
1,25619,25628,22688.0,22642.0,,,-46.0,0.0,-0.002027503526093044,2025-07-04 09:19:00,2025-07-04 09:28:00,0 days 00:09:00,,-0.20275035260930888,2025-07-04
-1,26226,26257,22261.0,22155.0,,,106.0,0.0,0.004761690849467648,2025-07-08 09:24:00,2025-07-08 09:55:00,0 days 00:31:00,,0.4761690849467679,2025-07-08
-1,26545,26557,22278.0,22340.0,,,-62.0,0.0,-0.002783014633270575,2025-07-09 09:42:00,2025-07-09 09:54:00,0 days 00:12:00,,-0.2783014633270491,2025-07-09
1,26852,26924,22525.0,22550.0,,,25.0,0.0,0.0011098779134295356,2025-07-10 09:48:00,2025-07-10 11:00:00,0 days 01:12:00,,0.11098779134295228,2025-07-10
1,27422,27471,22570.0,22582.0,,,12.0,0.0,0.0005316792202039178,2025-07-14 09:16:00,2025-07-14 10:05:00,0 days 00:49:00,,0.05316792202038104,2025-07-14
-1,27725,27732,22569.0,22620.0,,,-51.0,0.0,-0.002259736807124879,2025-07-15 09:18:00,2025-07-15 09:25:00,0 days 00:07:00,,-0.22597368071248172,2025-07-15
1,28348,28425,22886.0,22935.0,,,49.0,0.0,0.00214104692825301,2025-07-17 09:39:00,2025-07-17 10:56:00,0 days 01:17:00,,0.21410469282530806,2025-07-17
1,28637,28729,23294.0,23281.0,,,-13.0,0.0,-0.0005580836266849687,2025-07-18 09:27:00,2025-07-18 10:59:00,0 days 01:32:00,,-0.05580836266849832,2025-07-18
-1,29529,29634,23170.0,23225.0,,,-55.0,0.0,-0.0023737591713421935,2025-07-23 09:16:00,2025-07-23 11:01:00,0 days 01:45:00,,-0.2373759171342253,2025-07-23
1,30134,30220,23242.0,23287.0,,,45.0,0.0,0.0019361500731434056,2025-07-25 09:19:00,2025-07-25 10:45:00,0 days 01:26:00,,0.19361500731434472,2025-07-25
1,30431,30488,23298.0,23355.0,,,57.0,0.0,0.0024465619366469404,2025-07-28 09:15:00,2025-07-28 10:12:00,0 days 00:57:00,,0.24465619366469227,2025-07-28
