d,yr,ema20,tod,cum_frac,cont,reg
2021-02-01,2021,267.4885133829618,683,0.06084320152772446,1,高波
2021-02-02,2021,271.3467502036321,557,0.6425048151453939,1,高波
2021-02-04,2021,268.37228304651063,585,-0.10258126663292462,0,高波
2021-02-05,2021,265.1939703754144,609,0.30544216639196536,0,高波
2021-02-17,2021,262.12787795870827,574,0.11374695863746959,0,高波
2021-02-18,2021,261.3537943435932,659,0.13897834681747964,0,高波
2021-02-19,2021,259.1296234537272,798,0.04809246395758956,0,高波
2021-02-23,2021,250.89749221495583,623,0.12928729217532844,1,中波
2021-02-26,2021,249.86479852093532,624,-0.16178237564870598,0,中波
2021-03-03,2021,266.41086681645726,657,0.12473188008180776,1,高波
2021-03-04,2021,270.65745092917564,765,-0.03436681724448637,0,高波
2021-03-05,2021,274.4043603644922,585,0.2464744881139885,1,高波
2021-03-08,2021,281.0325165202549,609,0.19325215774025747,0,高波
2021-03-09,2021,285.5056101849925,670,0.061965757335583224,0,高波
2021-03-11,2021,271.34586230562877,577,0.4504082399225036,1,高波
2021-03-22,2021,217.09991374243435,584,-0.007364190856979662,1,中波
2021-03-25,2021,208.00262480934643,614,0.21211549645557284,1,中波
2021-03-26,2021,209.14523197036107,644,0.33274310166740445,1,中波
2021-04-06,2021,184.09932999614335,584,0.1603390518729063,0,中波
2021-04-08,2021,173.97700255920125,576,0.2914610890819384,1,中波
2021-04-13,2021,181.19449957386476,610,0.20512217620141437,0,中波
2021-04-14,2021,189.27121390016336,714,-0.11139367816091954,1,中波
2021-04-15,2021,202.19776495729064,723,0.1083866969634373,1,中波
2021-04-16,2021,204.08369210421534,784,0.08695067609096496,0,中波
2021-04-19,2021,200.83762618952818,706,0.12021225017507946,0,中波
2021-04-23,2021,197.2646082786776,633,0.12065677623711174,1,中波
2021-04-26,2021,199.3346455854702,673,0.15294117647058825,1,中波
2021-05-03,2021,181.50967111102918,713,-0.06841764184463199,0,中波
2021-05-04,2021,193.55636910045496,649,-0.16334519338037745,1,中波
2021-05-05,2021,236.17004823374495,601,0.2732028910998881,0,中波
2021-05-06,2021,238.82051983053114,578,0.38943998557128684,1,中波
