leg_ext,est_min,est_bucket,side,anchor,leg_amp,reach_L3,reach_L4,reach_L5,had_pullback,pb_depth,pb_min,matured_pre_pb,date
476,601,09:30-11:30,bear,15539,476,True,True,True,True,20,602,False,2021-01-29
308,587,09:30-11:30,bull,15090,308,True,True,False,True,94,588,False,2021-02-01
361,551,≤09:30,bull,15459,361,True,True,True,True,17,552,False,2021-02-02
159,564,≤09:30,bear,15875,159,False,False,False,True,29,565,False,2021-02-03
184,545,≤09:30,bear,15726,184,False,False,False,True,41,546,False,2021-02-04
235,574,09:30-11:30,bull,15542,235,True,False,False,True,35,575,False,2021-02-04
152,700,>11:30,bear,15777,152,False,False,False,True,54,703,False,2021-02-04
233,593,09:30-11:30,bull,15751,233,True,False,False,True,25,594,False,2021-02-05
220,642,09:30-11:30,bear,15984,220,True,False,False,False,,,True,2021-02-05
220,574,09:30-11:30,bull,16179,220,True,False,False,False,,,True,2021-02-17
213,582,09:30-11:30,bear,16399,213,True,False,False,False,,,False,2021-02-17
247,582,09:30-11:30,bull,16186,247,True,False,False,True,138,583,False,2021-02-17
238,647,09:30-11:30,bull,16287,238,True,False,False,True,19,649,False,2021-02-18
235,687,09:30-11:30,bear,16525,235,True,False,False,True,25,688,False,2021-02-18
132,800,>11:30,bull,16290,132,False,False,False,False,,,False,2021-02-18
198,587,09:30-11:30,bear,16328,198,True,False,False,True,72,588,False,2021-02-19
193,735,>11:30,bull,16130,193,True,False,False,True,20,739,False,2021-02-19
148,555,≤09:30,bull,16416,148,False,False,False,True,30,556,False,2021-02-22
228,588,09:30-11:30,bear,16564,228,True,False,False,True,37,589,False,2021-02-22
269,575,09:30-11:30,bull,16182,269,True,True,False,True,14,576,False,2021-02-23
154,561,≤09:30,bull,16281,154,False,False,False,True,27,562,False,2021-02-24
302,645,09:30-11:30,bear,16435,302,True,True,False,True,18,649,False,2021-02-24
179,593,09:30-11:30,bear,16422,179,False,False,False,True,35,594,False,2021-02-25
155,782,>11:30,bull,16243,155,False,False,False,True,43,787,False,2021-02-25
266,573,09:30-11:30,bear,16118,266,True,True,False,False,,,True,2021-02-26
202,593,09:30-11:30,bull,15852,202,True,False,False,True,61,594,False,2021-02-26
176,745,>11:30,bear,16054,176,False,False,False,True,59,746,False,2021-02-26
409,561,≤09:30,bear,16277,409,True,True,True,True,42,562,False,2021-03-02
145,564,≤09:30,bear,16030,145,False,False,False,True,34,565,False,2021-03-03
311,646,09:30-11:30,bull,15885,311,True,True,False,True,20,647,False,2021-03-03
310,585,09:30-11:30,bear,16066,310,True,True,False,True,31,586,False,2021-03-04
224,757,>11:30,bull,15756,224,True,False,False,True,42,759,False,2021-03-04
344,570,09:30-11:30,bull,15570,344,True,True,True,True,43,571,False,2021-03-05
204,600,09:30-11:30,bull,15891,204,True,False,False,True,26,601,False,2021-03-08
328,622,09:30-11:30,bear,16095,328,True,True,False,True,17,623,False,2021-03-08
217,578,09:30-11:30,bear,15825,217,True,False,False,True,33,579,False,2021-03-09
240,610,09:30-11:30,bull,15608,240,True,False,False,True,98,612,False,2021-03-09
178,604,09:30-11:30,bear,15986,178,False,False,False,True,25,606,False,2021-03-10
272,555,≤09:30,bull,15942,272,True,True,False,True,37,556,False,2021-03-11
135,717,>11:30,bull,16213,135,False,False,False,True,18,719,False,2021-03-16
175,739,>11:30,bear,16336,175,True,False,False,True,47,740,False,2021-03-17
152,577,09:30-11:30,bull,16249,152,False,False,False,True,22,578,False,2021-03-18
181,609,09:30-11:30,bear,16401,181,True,False,False,True,73,610,False,2021-03-18
157,566,≤09:30,bear,16110,157,False,False,False,True,99,568,False,2021-03-19
115,750,>11:30,bull,15953,115,False,False,False,False,,,False,2021-03-19
113,555,≤09:30,bear,16024,113,False,False,False,True,27,556,False,2021-03-22
263,576,09:30-11:30,bull,15911,263,True,True,False,True,16,577,False,2021-03-22
174,616,09:30-11:30,bear,16277,174,True,False,False,True,35,618,False,2021-03-23
123,604,09:30-11:30,bear,16062,123,False,False,False,True,68,605,False,2021-03-24
106,576,09:30-11:30,bear,15976,106,False,False,False,False,,,False,2021-03-25
220,605,09:30-11:30,bull,15870,220,True,True,False,True,15,606,False,2021-03-25
119,736,>11:30,bear,16090,119,False,False,False,True,16,737,False,2021-03-25
212,585,09:30-11:30,bull,16081,212,True,True,False,True,48,586,False,2021-03-26
135,622,09:30-11:30,bull,16350,135,False,False,False,True,39,633,False,2021-03-29
111,625,09:30-11:30,bull,16420,111,False,False,False,True,18,626,False,2021-03-30
113,654,09:30-11:30,bear,16531,113,False,False,False,False,,,False,2021-03-30
107,767,>11:30,bull,16418,107,False,False,False,True,19,773,False,2021-03-30
146,635,09:30-11:30,bear,16549,146,True,False,False,True,16,637,False,2021-03-31
102,602,09:30-11:30,bull,16485,102,False,False,False,True,0,603,False,2021-04-01
135,630,09:30-11:30,bear,16587,135,True,False,False,True,26,631,False,2021-04-01
106,744,>11:30,bull,16452,106,False,False,False,True,12,746,False,2021-04-01
99,562,≤09:30,bear,16804,99,False,False,False,False,,,False,2021-04-06
135,584,09:30-11:30,bull,16705,135,True,False,False,False,,,False,2021-04-06
143,588,09:30-11:30,bear,16840,143,True,False,False,True,34,589,False,2021-04-06
112,592,09:30-11:30,bear,16785,112,False,False,False,True,48,593,False,2021-04-07
115,726,>11:30,bull,16673,115,False,False,False,True,13,728,False,2021-04-07
243,567,≤09:30,bull,16687,243,True,True,True,True,12,568,False,2021-04-08
161,584,09:30-11:30,bear,16971,161,True,False,False,True,11,586,False,2021-04-09
205,574,09:30-11:30,bear,16965,205,True,True,False,True,70,575,False,2021-04-12
126,665,09:30-11:30,bull,16760,126,False,False,False,True,26,666,False,2021-04-12
156,584,09:30-11:30,bull,16890,156,True,False,False,True,16,586,False,2021-04-13
266,749,>11:30,bear,17046,266,True,True,True,True,19,750,False,2021-04-13
325,569,≤09:30,bear,16917,325,True,True,True,True,27,570,False,2021-04-14
268,681,09:30-11:30,bull,16592,268,True,True,True,True,48,682,False,2021-04-14
222,680,09:30-11:30,bull,16852,222,True,True,False,True,26,683,False,2021-04-15
170,624,09:30-11:30,bull,16990,170,True,False,False,True,47,626,False,2021-04-16
185,589,09:30-11:30,bull,17111,185,True,False,False,True,59,594,False,2021-04-19
118,675,09:30-11:30,bull,17206,118,False,False,False,True,15,680,False,2021-04-20
108,597,09:30-11:30,bear,17258,108,False,False,False,True,17,598,False,2021-04-21
