date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2021-01-29,short,1,0,606,0.562,0.395,>=L2,1.417,1,1,1
2021-02-01,long,1,0,591,0.591,0.344,>=L2,0.621,1,1,0
2021-02-03,short,1,0,566,0.518,0.479,>=L2,0.104,0,0,0
2021-02-04,short,1,0,554,0.619,0.6,>=L2,0.082,0,0,0
2021-02-04,long,1,0,579,0.529,0.019,>=L2,0.417,1,0,0
2021-02-04,short,2,1,714,0.686,0.667,>=L2,0.164,0,0,0
2021-02-05,long,1,0,602,0.709,0.49,>=L2,0.245,1,0,0
2021-02-17,long,1,0,614,0.839,0.526,>=L3,0.385,1,0,0
2021-02-18,short,1,0,691,0.536,0.333,>=L2,0.344,1,0,0
2021-02-18,long,1,0,810,0.911,0.578,>=L3,0.015,0,0,0
2021-02-19,short,1,0,594,0.509,0.405,>=L2,0.424,1,0,0
2021-02-19,long,1,0,743,0.513,0.104,>=L2,0.259,1,0,0
2021-02-22,long,1,0,569,0.584,0.332,>=L2,0.095,0,0,0
2021-02-22,short,1,0,594,0.557,0.253,>=L2,0.379,1,0,0
2021-02-23,long,1,0,585,0.594,0.43,>=L2,0.446,1,1,0
2021-02-24,long,1,0,564,0.507,0.431,>=L2,0.111,0,0,0
2021-02-24,short,1,0,649,0.523,0.075,>=L2,0.673,1,1,0
2021-02-25,short,1,0,598,0.579,0.447,>=L2,0.175,0,0,0
2021-02-25,long,1,0,795,0.556,0.132,>=L2,0.175,0,0,0
2021-02-26,long,1,0,598,0.588,0.324,>=L2,0.344,1,0,0
2021-02-26,short,1,0,750,1.065,0.74,>=L3,0.264,0,0,0
2021-03-02,short,1,0,568,0.501,0.39,>=L2,1.221,1,1,1
2021-03-03,short,1,0,568,0.529,0.417,>=L2,0.068,0,0,0
2021-03-03,long,1,0,653,0.694,0.263,>=L2,0.503,1,1,0
2021-03-04,short,1,0,587,0.547,0.395,>=L2,0.643,1,1,0
2021-03-04,long,1,0,764,0.669,0.151,>=L2,0.2,1,0,0
2021-03-05,long,1,0,572,0.503,0.39,>=L2,0.747,1,1,1
2021-03-08,short,1,0,628,0.694,0.21,>=L2,0.512,1,1,0
2021-03-09,short,1,0,584,0.679,0.627,>=L2,0.098,1,0,0
2021-03-09,long,1,0,614,0.539,0.053,>=L2,0.371,1,0,0
2021-03-10,short,1,0,614,0.569,0.537,>=L2,0.114,0,0,0
2021-03-11,long,1,0,559,0.509,0.475,>=L2,0.553,1,1,0
2021-03-16,long,1,0,721,0.517,0.365,>=L2,0.074,0,0,0
2021-03-17,short,1,0,748,0.634,0.497,>=L2,0.266,1,0,0
2021-03-18,long,1,0,590,0.654,0.627,>=L2,0.035,0,0,0
2021-03-18,short,1,0,614,0.5,0.026,>=L2,0.443,1,0,0
2021-03-19,short,1,0,569,0.542,0.497,>=L2,0.219,0,0,0
2021-03-19,long,1,0,753,0.515,0.045,>=L2,0.022,0,0,0
2021-03-22,short,1,0,573,0.52,0.493,>=L2,0.037,0,0,0
