trade_date,tse23_close,tse28_close
2010-01-04,342.04,907.51
2010-01-05,340.53,910.47
2010-01-06,343.98,926.96
2010-01-07,339.27,916.62
2010-01-08,340.09,925.22
2010-01-11,341.54,923.43
2010-01-12,341.85,919.42
2010-01-13,337.8,901.63
2010-01-14,343.45,904.3
2010-01-15,347.34,908.55
2010-01-18,346.66,903.4
2010-01-19,342.04,901.74
2010-01-20,341.55,887.24
2010-01-21,336.61,885.07
2010-01-22,327.39,863.11
2010-01-25,326.32,853.79
2010-01-26,315.42,822.31
2010-01-27,312.71,822.76
2010-01-28,319.27,836.05
2010-01-29,316.89,829.11
2010-02-01,310.67,815.21
2010-02-02,307.73,803.85
2010-02-03,314.48,814.89
2010-02-04,313.87,812.33
2010-02-05,300.24,767.44
2010-02-06,300.96,759.94
2010-02-08,300.07,769.26
2010-02-09,306.09,783.18
2010-02-10,309.17,790.42
2010-02-22,312.11,821.58
2010-02-23,312.84,819.82
2010-02-25,304.28,801.06
2010-02-26,303.7,804.79
2010-03-01,309.87,819.39
2010-03-02,311.5,819.29
2010-03-03,311.1,832.25
2010-03-04,309.13,817.28
2010-03-05,313.14,829.86
2010-03-08,319.18,834.89
2010-03-09,320.07,835.61
2010-03-10,319.91,841.66
2010-03-11,319.39,829.58
2010-03-12,318.82,830.84
2010-03-15,313.75,815.85
2010-03-16,316.09,823.43
2010-03-18,324.16,850.06
2010-03-19,324.76,851.1
2010-03-22,321.65,843.09
2010-03-23,321.31,838.7
2010-03-24,321.81,839.07
2010-03-26,325.53,838.79
2010-03-29,327.39,848.46
2010-03-30,327.44,852.86
2010-03-31,326.16,840.54
2010-04-01,329.86,852.76
2010-04-02,330.49,852.57
2010-04-06,334.04,853.96
2010-04-07,334.72,856.98
2010-04-08,329.79,861.38
2010-04-09,331.17,867.86
2010-04-13,327.94,852.57
2010-04-14,331.01,859.39
2010-04-15,333.27,863.41
2010-04-16,330.29,855.11
2010-04-19,321.35,820.41
2010-04-20,324.63,824.19
2010-04-21,329.5,829.96
2010-04-22,330.39,820.31
2010-04-23,332.24,821.41
2010-04-26,338.06,842.42
2010-04-27,337.69,839.7
2010-04-28,335.55,823.89
2010-04-29,333.43,822.09
2010-04-30,329.78,826.4
2010-05-03,327.73,821.2
2010-05-04,327.63,820.28
2010-05-05,317.3,801.76
2010-05-07,311.93,787.14
2010-05-10,316.01,792.99
2010-05-11,313.84,788.14
2010-05-12,312.75,795.25
2010-05-13,319.11,823.1
2010-05-14,319.07,820.66
2010-05-17,311.08,800.92
2010-05-18,309.28,804.96
2010-05-19,307.76,802.54
2010-05-20,302.96,786.25
2010-05-21,296.08,762.44
2010-05-24,300.04,768.97
2010-05-25,290.77,741.78
2010-05-26,295.66,756.22
2010-05-27,298.43,759.37
2010-05-28,300.56,762.54
2010-05-31,303.51,770.56
2010-06-01,301.21,755.81
2010-06-02,296.67,749.69
2010-06-03,304.03,767.43
2010-06-04,303.62,760.48
2010-06-07,294.88,740.41
2010-06-08,292.86,742.69
2010-06-09,289.97,730.43
2010-06-10,294.66,742.72
2010-06-11,299.23,762.54
2010-06-14,301.69,778.2
2010-06-15,303.92,789.37
2010-06-17,306.25,791.21
2010-06-18,306.11,788.91
2010-06-21,311.48,809.05
2010-06-22,309.84,807.31
2010-06-23,308.67,801.99
2010-06-24,308.47,805.54
2010-06-25,303.71,806.68
2010-06-28,302.78,824.41
2010-06-29,300.71,809.55
2010-06-30,295.46,795.99
2010-07-01,292.32,786.94
2010-07-02,294.02,815.37
2010-07-05,298.81,828.07
2010-07-06,302.5,838.44
2010-07-07,302.59,834.91
2010-07-08,307.72,834.84
2010-07-09,309.69,839.85
2010-07-12,309.94,836.39
2010-07-13,308.07,834.69
2010-07-14,312.82,853.24
2010-07-15,311.81,857.74
2010-07-16,308.54,866.8
2010-07-19,308.25,860.79
2010-07-20,311.66,861.37
2010-07-21,311.04,854.1
2010-07-22,309.13,848.61
2010-07-23,313.66,854.33
2010-07-26,315.53,856.44
2010-07-27,315.44,847.6
2010-07-28,315.38,856.71
2010-07-29,315.3,857.56
2010-07-30,313.58,856.75
2010-08-02,318.77,887.79
2010-08-03,319.67,892.9
2010-08-04,318.57,898.17
2010-08-05,316.61,897.02
2010-08-06,316.84,899.63
2010-08-09,318.46,923.14
2010-08-10,315.21,914.31
2010-08-11,312.45,891.88
2010-08-12,309.04,891.01
2010-08-13,311.82,893.59
2010-08-16,313.46,896.89
2010-08-17,312.65,891.56
2010-08-19,315.42,867.52
2010-08-20,314.17,872.23
2010-08-23,314.45,891.08
2010-08-24,312.68,889.71
2010-08-25,306.32,858.92
2010-08-26,304.89,845.86
2010-08-27,305.12,853.58
2010-08-30,304.97,860.14
2010-08-31,298.03,854.39
2010-09-01,298.94,860.21
2010-09-02,301.04,863.69
2010-09-03,307.73,869.64
2010-09-06,309.72,874.22
2010-09-07,308.66,871.23
2010-09-08,307.78,865.93
2010-09-09,308.57,861.0
2010-09-10,310.65,870.6
2010-09-13,318.22,899.41
2010-09-14,320.14,901.62
2010-09-15,320.95,907.86
2010-09-16,318.25,899.74
2010-09-17,320.36,907.25
2010-09-20,320.75,908.18
2010-09-21,321.75,910.34
2010-09-23,321.95,915.58
2010-09-24,319.33,914.92
2010-09-27,319.57,918.16
2010-09-28,320.31,910.57
2010-09-29,322.78,913.49
2010-09-30,323.39,907.56
2010-10-01,322.76,910.26
2010-10-04,319.52,921.83
2010-10-05,317.51,916.4
2010-10-06,320.18,926.52
2010-10-07,319.95,931.81
2010-10-11,317.34,911.11
2010-10-12,313.6,900.34
2010-10-13,313.65,900.94
2010-10-14,316.31,910.95
2010-10-15,314.21,911.11
2010-10-18,308.23,892.88
2010-10-19,308.59,891.64
2010-10-20,313.52,890.87
2010-10-21,312.77,888.04
2010-10-22,314.58,889.51
2010-10-25,320.13,902.84
2010-10-26,320.61,905.62
2010-10-27,318.4,897.26
2010-10-28,322.75,902.41
2010-10-29,320.84,896.21
2010-11-01,323.57,908.79
2010-11-02,321.08,911.14
2010-11-03,318.66,906.28
2010-11-04,321.41,911.28
2010-11-05,322.74,923.86
2010-11-08,318.87,926.26
2010-11-09,320.52,921.53
2010-11-10,322.26,916.26
2010-11-11,321.43,920.68
2010-11-12,318.21,900.44
2010-11-15,318.23,888.49
2010-11-16,320.68,891.4
2010-11-17,318.9,880.26
2010-11-18,319.03,884.56
2010-11-19,321.1,882.13
2010-11-22,324.88,886.33
2010-11-23,323.24,879.24
2010-11-24,321.27,875.24
2010-11-25,325.09,884.42
2010-11-26,324.73,876.65
2010-11-29,325.86,881.53
2010-11-30,325.37,878.42
2010-12-01,329.32,916.97
2010-12-03,336.26,925.81
2010-12-06,337.09,945.72
2010-12-07,336.48,947.73
2010-12-08,337.27,939.55
2010-12-09,340.46,943.41
2010-12-10,340.68,937.42
2010-12-13,341.34,938.73
2010-12-14,340.86,932.47
2010-12-15,339.69,936.48
2010-12-16,341.18,938.1
2010-12-17,342.48,949.82
2010-12-20,339.31,949.37
2010-12-21,341.52,956.91
2010-12-22,343.81,958.48
2010-12-23,345.17,960.91
2010-12-24,343.22,960.82
2010-12-27,341.96,988.91
2010-12-28,341.34,986.15
2010-12-29,337.72,1021.39
2010-12-30,339.78,1016.88
