D,P,wd,ref,s_macd,s_ma20,s_weekday,s_pos,s_vote,ret_08:45-09:30,ret_09:00-10:30,ret_08:45-11:30,vix,year
2021-01-04,2020-12-31,0,14664.0,short,,,long,,85.0,178.0,263.0,,2021
2021-01-05,2021-01-04,1,14830.0,short,long,,long,long,-17.0,36.0,59.0,,2021
2021-01-06,2021-01-05,2,15036.0,short,long,,long,long,16.0,17.0,-124.0,,2021
2021-01-07,2021-01-06,3,15030.0,long,long,,long,long,8.0,47.0,180.0,,2021
2021-01-08,2021-01-07,4,15393.0,long,long,,long,long,13.0,-35.0,6.0,,2021
2021-01-11,2021-01-08,0,15419.0,short,long,,long,long,74.0,30.0,11.0,,2021
2021-01-12,2021-01-11,1,15514.0,short,long,,long,long,-30.0,22.0,-16.0,,2021
2021-01-13,2021-01-12,2,15537.0,short,long,,long,long,91.0,164.0,192.0,,2021
2021-01-14,2021-01-13,3,15690.0,short,long,,short,short,-11.0,36.0,-4.0,,2021
2021-01-15,2021-01-14,4,15933.0,long,long,,long,long,-76.0,-149.0,-73.0,,2021
2021-01-18,2021-01-15,0,15681.0,short,short,,short,short,-140.0,-191.0,-87.0,,2021
2021-01-19,2021-01-18,1,15661.0,long,short,,long,long,62.0,46.0,134.0,,2021
2021-01-20,2021-01-19,2,15870.0,short,long,,long,long,-35.0,5.0,-55.0,,2021
2021-01-22,2021-01-21,4,16104.0,short,long,,long,long,-56.0,70.0,-42.0,,2021
2021-01-25,2021-01-22,0,15960.0,long,long,long,short,long,-36.0,-102.0,-75.0,,2021
2021-01-26,2021-01-25,1,15887.0,long,short,long,long,long,28.0,-101.0,-181.0,,2021
2021-01-27,2021-01-26,2,15698.0,long,short,long,short,,44.0,-35.0,-65.0,,2021
2021-01-28,2021-01-27,3,15428.0,short,short,long,short,short,64.0,40.0,-52.0,,2021
2021-01-29,2021-01-28,4,15555.0,long,short,short,long,,-17.0,-157.0,-169.0,,2021
2021-02-01,2021-01-29,0,15109.0,short,short,,short,short,0.0,68.0,134.0,,2021
