ma,window,side,n,red_p,ci_lo,ci_hi,d_red_pp,mean_ret,mean_pct,net_pct
5,A_0845_0945,above,655,0.5083969465648855,0.4701105781591468,0.5466833149706243,-1.1749573581634642,7.613740458015267,0.028787302786255957,0.004131048657506981
5,A_0845_0945,below,437,0.5377574370709383,0.49101153641650314,0.5845033377253733,1.7610916924418074,8.720823798627002,0.01846440774278312,-0.006191846385965857
5,B_0900_1000,above,655,0.517557251908397,0.47928909801564284,0.5558254058011511,-0.7168022816877784,8.705343511450382,0.028771528182329385,0.01257284607156792
5,B_0900_1000,below,437,0.5354691075514875,0.4887074536127585,0.5822307614902165,1.0743832826212718,1.7803203661327232,-0.0026462015891858715,-0.018844883699947336
5,C_0915_1015,above,655,0.5145038167938931,0.4762281617578148,0.5527794718299714,0.9009311299387646,0.6396946564885496,0.004076461968198455,0.011455677998156201
5,C_0915_1015,below,437,0.4919908466819222,0.4451171038389432,0.5388645895249012,-1.3503658812583252,-6.546910755148741,-0.024549625844127794,-0.01717040981417005
10,A_0845_0945,above,670,0.5044776119402985,0.46661842705483936,0.5423367968257576,-1.5668908206221688,5.832835820895522,0.0245912655042322,-6.498862451677703e-05
10,A_0845_0945,below,422,0.5450236966824644,0.4975118482011991,0.5925355451637297,2.4877176535944234,11.587677725118484,0.02475943512028035,0.00010318099153137569
10,B_0900_1000,above,670,0.517910447761194,0.48007404272915316,0.5557468527932349,-0.6814826964080756,6.755223880597015,0.024236223841544387,0.008037541730782922
10,B_0900_1000,below,422,0.5355450236966824,0.4879600700969056,0.5831299772964592,1.0819748971407694,4.630331753554502,0.0034376561400871527,-0.012761025970674312
10,C_0915_1015,above,670,0.5104477611940299,0.47259532446556524,0.5483001979224946,0.4953255699524428,0.04477611940298507,0.005151873927121532,0.012531089957079276
10,C_0915_1015,below,422,0.4976303317535545,0.4499252139382083,0.5453354495689007,-0.7864173740950997,-5.85781990521327,-0.02727454842626845,-0.019895332396310705
20,A_0845_0945,above,698,0.5200573065902578,0.482993616703018,0.5571209964774977,-0.00892135562623464,8.988538681948423,0.03548743835274342,0.010831184223994445
20,A_0845_0945,below,394,0.5203045685279187,0.4709736080570043,0.5696355289988332,0.01580483813985456,6.406091370558376,0.005468014056799424,-0.019188240071949553
20,B_0900_1000,above,698,0.5229226361031518,0.48586809097052613,0.5599771812357774,-0.18026386221229318,8.287965616045845,0.029693273742015268,0.013494591631253803
20,B_0900_1000,below,394,0.5279187817258884,0.4786241214186374,0.5772134420331393,0.31935070006136046,1.763959390862944,-0.007707980220749076,-0.02390666233151054
20,C_0915_1015,above,698,0.5114613180515759,0.47437751764202757,0.5485451184611242,0.5966812557070433,-0.998567335243553,0.002728332761444357,0.010107548791402101
20,C_0915_1015,below,394,0.4949238578680203,0.44555471553344006,0.5442930002026005,-1.0570647626485186,-4.428934010152284,-0.02528548267056351,-0.017906266640605763
60,A_0845_0945,above,772,0.5233160621761658,0.4880834605947707,0.5585486637575608,0.3169542029645589,11.558290155440414,0.04076155868933466,0.016105304560585686
60,A_0845_0945,below,320,0.5125,0.4577334571225278,0.5672665428774721,-0.764652014652023,-0.390625,-0.014197793123663977,-0.038854047252412954
60,B_0900_1000,above,772,0.5310880829015544,0.49588535372760045,0.5662908120755084,0.6362808176279655,10.22538860103627,0.035948927412067525,0.01975024530130606
60,B_0900_1000,below,320,0.509375,0.4546009653389777,0.5641490346610224,-1.5350274725274726,-4.41875,-0.03144878467863943,-0.04764746678940089
60,C_0915_1015,above,772,0.5155440414507773,0.4802901179328681,0.5507979649686864,1.0049535956271782,-1.3316062176165804,0.0006677936580072598,0.008047009687965005
60,C_0915_1015,below,320,0.48125,0.4265048678676588,0.5359951321323413,-2.4244505494505466,-4.41875,-0.026792626902173322,-0.019413410872215577
120,A_0845_0945,above,811,0.531442663378545,0.4970983195404503,0.5657870072166397,1.129614323202477,13.066584463625155,0.047756881523813736,0.02310062739506476
120,A_0845_0945,below,281,0.4875444839857651,0.4291007276899476,0.5459882402815825,-3.2602036160755077,-6.402135231316726,-0.042014951627114085,-0.06667120575586306
120,B_0900_1000,above,811,0.5425400739827374,0.5082523953599091,0.5768277526055657,1.7814799257462655,11.078914919852034,0.0403220290600181,0.024123346949256632
120,B_0900_1000,below,281,0.47330960854092524,0.4149310631310904,0.5316881539507601,-5.14156661843495,-8.91459074733096,-0.05342421602392582,-0.06962289813468729
120,C_0915_1015,above,811,0.5203452527743526,0.48596129884962036,0.5547292066990849,1.4850747279847143,-0.842170160295931,0.00237654063940487,0.009755756669362615
