d,open,hi_full,lo_full,hi_1030,lo_1030,hi_1130,lo_1130,rng,ema20,up_L4,dn_L4,up_L5,dn_L5,anyL4,anyL5,anyL4_1130,anyL5_1130,anyL4_1030,night_norm,deep_stop,regime,level,extreme,tempL4_5,cntL4_5,tempL5_5,tempDS_5,tempL4_10,cntL4_10,tempL5_10,tempDS_10,tempL4_20,cntL4_20,tempL5_20,tempDS_20,fwdL4_1,fwdL5_1,fwdL4_3,fwdL5_3,fwdL4_5,fwdL5_5,fwdL4_10,fwdL5_10,rv_up
2020-12-31,14678.0,14712.0,14604.0,14712.0,14623.0,14712.0,14604.0,108.0,,0.0,0.0,0.0,0.0,,,,,,,,升壓,高18-24,False,,,,,,,,,,,,,,,,,,,,,1.0
2021-01-04,14640.0,14925.0,14635.0,14844.0,14635.0,14921.0,14635.0,290.0,108.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9682539682539683,0.0,升壓,高18-24,False,,,,,,,,,,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.6,0.5,0.5,1.0
2021-01-05,14874.0,14980.0,14836.0,14925.0,14836.0,14941.0,14836.0,144.0,125.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0090978013646703,0.0,升壓,高18-24,False,,,,,,,,,,,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4,0.4,0.5,0.5,1.0
2021-01-06,15048.0,15140.0,14764.0,15140.0,14970.0,15140.0,14902.0,376.0,127.1111111111111,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.2695839267856601,0.0,升壓,高18-24,False,,,,,,,,,,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.4,0.4,0.6,0.5,1.0
2021-01-07,15050.0,15260.0,15024.0,15120.0,15024.0,15232.0,15024.0,236.0,150.8148148148148,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.631961630398539,0.0,升壓,高18-24,False,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5,0.4,1.0
2021-01-08,15376.0,15473.0,15264.0,15422.0,15264.0,15422.0,15264.0,209.0,158.92768959435625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9734426226276294,0.0,升壓,高18-24,False,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.4,1.0
2021-01-11,15420.0,15538.0,15369.0,15510.0,15369.0,15510.0,15369.0,169.0,163.69648106156043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9711304792434856,0.0,升壓,高18-24,False,0.6,3.0,0.6,0.0,,,,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5,0.4,1.0
2021-01-12,15517.0,15605.0,15407.0,15605.0,15466.0,15605.0,15466.0,198.0,164.2015781033166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107619002307533,0.0,升壓,高18-24,False,0.4,2.0,0.4,0.0,,,,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6,0.4,1.0
2021-01-13,15557.0,15790.0,15555.0,15747.0,15555.0,15766.0,15555.0,235.0,167.42047542681024,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6511323565831015,1.0,升壓,高18-24,False,0.4,2.0,0.4,0.0,,,,,,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.6,0.7,0.5,1.0
2021-01-14,15705.0,15766.0,15632.0,15730.0,15632.0,15734.0,15632.0,134.0,173.8566206242569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376303162377368,0.0,升壓,高18-24,False,0.4,2.0,0.4,0.2,,,,,,,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6,0.4,0.6,0.4,1.0
2021-01-15,15950.0,16002.0,15584.0,16002.0,15756.0,16002.0,15756.0,418.0,170.06075199337528,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.006032507539819,0.0,升壓,高18-24,False,0.2,1.0,0.2,0.2,,,,,,,,,1.0,1.0,1.0,0.6666666666666666,0.8,0.6,0.6,0.4,1.0
2021-01-18,15637.0,15679.0,15327.0,15679.0,15327.0,15679.0,15327.0,352.0,193.6740137082919,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3370863036955283,0.0,升壓,高18-24,False,0.4,2.0,0.4,0.2,0.5,5.0,0.5,0.1,,,,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6,0.4,0.6,0.4,1.0
2021-01-19,15714.0,15946.0,15710.0,15842.0,15710.0,15852.0,15710.0,236.0,208.75267906940695,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7282376159007716,1.0,升壓,高18-24,False,0.6,3.0,0.6,0.2,0.5,5.0,0.5,0.1,,,,,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6,0.2,0.5,0.3,1.0
2021-01-20,15899.0,15964.0,15735.0,15964.0,15816.0,15964.0,15770.0,229.0,211.34766201517772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7082400835284104,1.0,升壓,高18-24,False,0.8,4.0,0.6,0.4,0.6,6.0,0.5,0.2,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6,0.4,0.5,0.4,1.0
2021-01-21,15803.0,16183.0,15769.0,16045.0,15769.0,16183.0,15769.0,414.0,213.02883706135125,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,升壓,極高>24,False,0.6,3.0,0.4,0.4,0.5,5.0,0.4,0.3,,,,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6,0.4,0.5,0.4,1.0
2021-01-22,16051.0,16085.0,15928.0,16085.0,15964.0,16085.0,15964.0,157.0,232.16894781741303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7446706615770314,1.0,升壓,高18-24,False,0.8,4.0,0.6,,0.5,5.0,0.4,,,,,,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4,0.2,0.4,0.3,1.0
2021-01-25,15956.0,16004.0,15719.0,16004.0,15719.0,16004.0,15719.0,285.0,225.01000040623083,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4020206770875383,0.0,升壓,極高>24,False,0.6,3.0,0.4,,0.5,5.0,0.4,,,,,,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6,0.4,0.4,0.3,1.0
2021-01-26,15865.0,15974.0,15537.0,15974.0,15786.0,15974.0,15634.0,437.0,230.72333370087551,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.294389634047273,0.0,升壓,極高>24,False,0.6,3.0,0.2,,0.6,6.0,0.4,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3,0.3,1.0
2021-01-27,15725.0,15814.0,15585.0,15814.0,15646.0,15814.0,15585.0,229.0,250.3687304912683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9015694970901224,0.0,升壓,極高>24,False,0.6,3.0,0.4,,0.7,7.0,0.5,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.2,0.2,1.0
2021-01-28,15411.0,15524.0,15305.0,15524.0,15336.0,15524.0,15315.0,219.0,248.3336133016237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032036050625865,0.0,升壓,極高>24,False,0.6,3.0,0.4,,0.6,6.0,0.4,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.4,0.2,0.2,1.0
2021-01-29,15498.0,15539.0,15063.0,15539.0,15351.0,15539.0,15314.0,476.0,245.5399358443262,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.571683112183479,0.0,升壓,極高>24,False,0.4,2.0,0.2,0.2,0.6,6.0,0.4,,,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.4,0.4,0.2,0.2,1.0
2021-02-01,15156.0,15398.0,15090.0,15265.0,15090.0,15299.0,15090.0,308.0,267.4885133829618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199205837148122,0.0,升壓,極高>24,False,0.6,3.0,0.4,0.0,0.6,6.0,0.4,,0.55,11.0,0.45,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.1,0.1,1.0
2021-02-02,15469.0,15820.0,15459.0,15779.0,15459.0,15795.0,15459.0,361.0,271.3467502036321,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9451611873788439,0.0,升壓,極高>24,False,0.4,2.0,0.4,0.0,0.5,5.0,0.3,,0.5,10.0,0.4,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.1,0.1,1.0
2021-02-03,15864.0,15875.0,15716.0,15875.0,15716.0,15875.0,15716.0,159.0,279.8851549461433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317339530102792,0.0,升壓,極高>24,False,0.4,2.0,0.4,0.0,0.5,5.0,0.4,,0.55,11.0,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-02-04,15721.0,15777.0,15542.0,15777.0,15542.0,15777.0,15542.0,235.0,268.37228304651063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206023784580605,0.0,降壓,高18-24,False,0.4,2.0,0.4,0.0,0.5,5.0,0.4,,0.5,10.0,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,15809.0,15984.0,15751.0,15984.0,15751.0,15984.0,15751.0,233.0,265.1939703754144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461156670278549,1.0,降壓,高18-24,False,0.4,2.0,0.4,0.0,0.4,4.0,0.3,0.1,0.45,9.0,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
2021-02-17,16261.0,16433.0,16179.0,16399.0,16179.0,16432.0,16179.0,254.0,262.12787795870827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524863648577474,1.0,降壓,高18-24,False,0.2,1.0,0.2,0.2,0.4,4.0,0.3,0.1,0.45,9.0,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
2021-02-18,16374.0,16525.0,16287.0,16382.0,16287.0,16525.0,16287.0,238.0,261.3537943435932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,降壓,高18-24,False,0.2,1.0,0.2,0.4,0.3,3.0,0.3,0.2,0.45,9.0,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0
2021-02-19,16301.0,16328.0,16130.0,16328.0,16162.0,16328.0,16130.0,198.0,259.1296234537272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276862109293402,0.0,降壓,高18-24,False,0.0,0.0,0.0,,0.2,2.0,0.2,,0.45,9.0,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0
