trade_date,day_open,day_high,day_low,day_close,volume,day_range,range_pct,direction,oc_pct,MorningEarly_marginal,MorningEarly_pct,MorningLate_marginal,MorningLate_pct,Midday_marginal,Midday_pct,Afternoon_marginal,Afternoon_pct,year,is_potential,day_type
2020-12-31,14678.0,14712.0,14604.0,14678.0,190500.0,108.0,0.7358,UP,0.0,89.0,0.8241,19.0,0.1759,0.0,0.0,0.0,0.0,2020,False,EarlyTrend
2021-01-04,14640.0,14925.0,14635.0,14874.0,272836.0,290.0,1.9809,UP,1.5984,153.0,0.5276,64.0,0.2207,69.0,0.2379,4.0,0.0138,2021,True,EarlyTrend
2021-01-05,14874.0,14980.0,14836.0,14977.0,221168.0,144.0,0.9681,UP,0.6925,89.0,0.6181,16.0,0.1111,4.0,0.0278,35.0,0.2431,2021,False,EarlyTrend
2021-01-06,15048.0,15140.0,14764.0,14911.0,464494.0,376.0,2.4987,DOWN,-0.9104,170.0,0.4521,0.0,0.0,132.0,0.3511,74.0,0.1968,2021,True,Spread
2021-01-07,15050.0,15260.0,15024.0,15230.0,301436.0,236.0,1.5681,UP,1.196,91.0,0.3856,67.0,0.2839,62.0,0.2627,16.0,0.0678,2021,True,Spread
2021-01-08,15376.0,15473.0,15264.0,15454.0,314958.0,209.0,1.3593,UP,0.5073,150.0,0.7177,8.0,0.0383,24.0,0.1148,27.0,0.1292,2021,True,EarlyTrend
2021-01-11,15420.0,15538.0,15369.0,15534.0,276182.0,169.0,1.096,UP,0.7393,127.0,0.7515,14.0,0.0828,0.0,0.0,28.0,0.1657,2021,True,EarlyTrend
2021-01-12,15517.0,15605.0,15407.0,15493.0,348336.0,198.0,1.276,DOWN,-0.1547,139.0,0.702,0.0,0.0,47.0,0.2374,12.0,0.0606,2021,True,EarlyTrend
2021-01-13,15557.0,15790.0,15555.0,15764.0,308414.0,235.0,1.5106,UP,1.3306,149.0,0.634,51.0,0.217,11.0,0.0468,24.0,0.1021,2021,True,EarlyTrend
2021-01-14,15705.0,15766.0,15632.0,15729.0,239816.0,134.0,0.8532,UP,0.1528,98.0,0.7313,0.0,0.0,19.0,0.1418,17.0,0.1269,2021,False,EarlyTrend
2021-01-15,15950.0,16002.0,15584.0,15634.0,447734.0,418.0,2.6207,DOWN,-1.9812,246.0,0.5885,0.0,0.0,9.0,0.0215,163.0,0.39,2021,True,EarlyTrend
2021-01-18,15637.0,15679.0,15327.0,15606.0,355560.0,352.0,2.2511,DOWN,-0.1982,352.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,True,EarlyTrend
2021-01-19,15714.0,15946.0,15710.0,15888.0,294664.0,236.0,1.5018,UP,1.1073,120.0,0.5085,12.0,0.0508,28.0,0.1186,76.0,0.322,2021,True,EarlyTrend
2021-01-20,15899.0,15964.0,15735.0,15766.0,237836.0,229.0,1.4403,DOWN,-0.8365,148.0,0.6463,0.0,0.0,46.0,0.2009,35.0,0.1528,2021,True,EarlyTrend
2021-01-21,15803.0,16183.0,15769.0,16129.0,462058.0,414.0,2.6198,UP,2.0629,257.0,0.6208,86.0,0.2077,71.0,0.1715,0.0,0.0,2021,True,EarlyTrend
2021-01-22,16051.0,16085.0,15928.0,15984.0,321936.0,157.0,0.9781,DOWN,-0.4174,111.0,0.707,10.0,0.0637,36.0,0.2293,0.0,0.0,2021,False,EarlyTrend
